Fe,C,Mn,Si,Cr,Ni,Mo,V,Nb,Co,Al,Ti,N,W,yield_strength
0.678,0.000464,0.000102,0.000199,0.0873,0.114,0.000116,0.00011,6.00E-05,0.0992,0.00806,0.0129,0,0,1768
0.678,0.00421,0.00645,0.00741,0.133,9.58E-05,0.0233,0.00011,6.05E-05,0.145,0.000625,0,0.00161,0,1131.9
0.679,0.00705,0.000103,0.000201,0.153,0.00135,0.0282,0.00233,6.08E-05,0.128,0.000628,0,0,0,1341.7
0.68,0,0.000102,0.000199,0.127,0.0976,0.00856,0.00011,6.01E-05,0.0709,0.00891,0.00654,0,0,1586.7
0.68,0,0.000104,0.000204,0.111,0.068,0.0327,0.000112,6.16E-05,0.106,0.000636,0,0.000408,0,1373.9
0.681,0.000478,0.000104,0.000204,0.00011,0.181,0.0293,0.00439,6.18E-05,0.0847,0.0108,0.00779,0,0,1164.4
0.681,0.00744,0.000102,0.000199,0.154,9.52E-05,0.0175,0.0106,6.01E-05,0.126,0.00104,0,0.0012,0,1240.2
0.681,0.00877,0.00464,0.00968,0.135,0.00898,0.00861,0.000109,5.97E-05,0.142,0.000617,0,0,0,1250.8
0.682,0.00515,0.000102,0.0002,0.0995,0.0355,0.0117,0.00552,6.05E-05,0.159,0.000625,0.000353,0,0,1453.8
0.682,0.00877,0.000202,0.00967,0.134,0.00907,0.00861,0.00501,5.97E-05,0.142,0.000616,0,0,0,1241
0.682,0.00925,0.000101,0.0101,0.134,0.00899,0.0115,0.000109,0.000479,0.143,0.000618,0,0,0,1314.2
0.683,0.00704,0.000103,0.000201,0.156,9.61E-05,0.0299,0.00454,6.07E-05,0.117,0.000836,0,0.00121,0,1471
0.683,0.00749,0.000102,0.0002,0.156,9.58E-05,0.0309,0.00453,6.05E-05,0.112,0.000834,0,0.00522,0,1646.7
0.683,0.00925,0.000202,0.00969,0.134,0.0089,0.0114,0.000109,0.00012,0.142,0.000618,0,0,0,1258.6
0.684,0.00699,0.000102,0.000199,0.155,9.53E-05,0.0177,0.0045,6.02E-05,0.13,0.000622,0,0.0012,0,1233.3
0.684,0.00795,0.000102,0.0002,0.156,9.57E-05,0.0306,0.00452,6.04E-05,0.109,0.00271,0,0.00481,0,1536.5
0.684,0.0092,0.000101,0.0197,0.134,0.00885,0.0114,0.00228,0.000476,0.129,0.000614,0,0,0,1344.4
0.685,0.00877,0.000101,0.00967,0.134,0.00907,0.00855,0.00359,5.97E-05,0.141,0.000617,0,0,0,1218.4
0.685,0.0101,0.000101,0.0199,0.134,0.00884,0.0114,0.000108,0.000475,0.129,0.000614,0,0,0,1383.7
0.685,0.0112,0.000102,0.000199,0.0957,0.0705,0.00991,0.00307,6.02E-05,0.123,0.000622,0.000351,0,0,1550.3
0.685,0.0116,0.000101,0.000198,0.151,0.00882,0.0116,0.000109,0.000479,0.131,0.000619,0,0,0,1438.6
0.686,0.000466,0.000102,0.000199,0.0951,0.103,0.00694,0.0045,6.02E-05,0.0877,0.00892,0.00666,0,0,1755.2
0.686,0.000469,0.00041,0.000802,0.107,0.0671,0.0161,0,0,0.0767,0.0376,0,0,0.00745,1680.6
0.686,0.000478,0.000104,0.000204,0.00011,0.143,0.0185,0.000113,6.18E-05,0.15,0.000638,0.00144,0,0,1267.1
0.686,0.00091,9.95E-05,0.0354,0.146,0.0475,0.000114,0.000107,5.88E-05,0.0825,0.000405,0.000457,0,0,1226.4
0.687,0.000467,0.000102,0.0002,0.0835,0.114,0.00573,0.00011,6.04E-05,0.0947,0.00562,0.00832,0,0,1779.7
0.687,0.00974,0.000101,0.000198,0.151,0.00883,0.0116,0.000109,0.00048,0.131,0.00062,0,0,0,1372.9
0.687,0.0162,0.000101,0.000199,0.0965,0.0142,0.0116,0.00328,6.00E-05,0.17,0.00062,0.000233,0,0,1731.7
0.687,0,0.000102,0.000199,0.119,0.0952,0.00716,0.00011,6.01E-05,0.0712,0.0118,0.00689,0,0.000851,1729.4
0.688,0.00877,0.000101,0.00987,0.134,0.00898,0.00856,0.000109,5.97E-05,0.141,0.000617,0,0,0,1311.1
0.689,0.000476,0.000104,0.000204,0.111,0.0683,0.0327,0.000112,6.15E-05,0.0975,0.000636,0,0,0,1486.2
0.689,0.00193,0.000105,0.000206,0.000111,0.185,0.0362,0.000114,6.23E-05,0.0785,0.00343,0.00507,0,0,1012.8
0.69,0.00697,0.000102,0.000199,0.15,0.00885,0.0116,0.00011,0.000481,0.13,0.000621,0,0,0,1278.2
0.69,0.00785,0.000101,0.0154,0.134,0.00898,0.0115,0.000109,0.000477,0.132,0.000617,0,0,0,1368.5
0.69,0.0097,0.000101,0.0111,0.134,0.00936,0.0114,0.0037,0.000478,0.129,0.000617,0,0,0,1280.7
0.692,0.00837,0.00112,0.00179,0.000107,0.169,0.000116,0.0474,6.01E-05,0.0764,0.00228,0.000933,0,0,1605.4
0.692,0.00968,0.000101,0.0144,0.133,0.00887,0.0114,0.000109,0.000477,0.13,0.000616,0,0,0,1369.5
0.693,0.000454,9.93E-05,0.0334,0.165,0.0381,0.000114,0.000107,5.87E-05,0.0685,0.000405,0.000456,0,0,1205.8
0.693,0.00877,0.000101,0.0144,0.133,0.00897,0.0114,0.000109,0.000477,0.13,0.000616,0,0,0,1275.3
0.694,0.0103,0.000102,0.0002,0.0917,0.044,0.00877,0.00308,6.04E-05,0.146,0.000624,0.000352,0,0.00153,1575.5
0.695,0.00971,0.000101,0.00988,0.134,0.00889,0.0115,0.000109,0.000478,0.13,0.000617,0,0,0,1369.5
0.695,0.0106,0.000101,0.0103,0.133,0.00898,0.0114,0.000109,0.000478,0.13,0.000617,0,0,0,1359.7
0.696,0.00143,0.000105,0.000204,0.00011,0.18,0.0293,0.000113,6.18E-05,0.0682,0.00319,0.0212,0,0,1233.3
0.696,0.00878,0.000101,0.00989,0.135,0.00927,0.0113,0.000109,0.00012,0.129,0.000617,0,0,0,1376.3
0.696,0.00925,0.000101,0.000198,0.148,0.0107,0.00573,0.000109,0.000538,0.129,0.000617,0,0,0,1376.7
0.696,0.00974,0.000101,0.000198,0.15,9.49E-05,0.0116,0.000109,0.00048,0.13,0.000619,0,0,0,1348.9
0.697,0.00972,0.000101,0.00732,0.135,0.00909,0.0115,0.000109,0.000479,0.13,0.000618,0,0,0,1332.7
0.699,0.000478,0.000104,0.000204,0.00011,0.166,0.0287,0.00383,6.18E-05,0.0847,0.00829,0.00803,0,0,1287.3
0.699,0.000946,0.000103,0.000202,0.000109,0.14,0.00545,0.000112,6.12E-05,0.148,0.000632,0.00487,0,0,1212
0.7,0.000479,0.000523,0.00102,0.000111,0.17,0.0298,0.000113,6.19E-05,0.0771,0.00277,0.018,0,0,2356.4
0.7,0.00927,0.000101,0.00594,0.133,0.00901,0.0114,0.000109,0.000479,0.13,0.000619,0,0,0,1299.8
0.701,0.0075,0.000102,0.0002,0.154,9.59E-05,0.0289,0.00508,6.06E-05,0.101,0.000835,0,0.00121,0,1405.6
0.702,0.000943,0.000103,0.000202,0.000109,0.142,0.000118,0.000111,6.09E-05,0.149,0.000629,0.00509,0,0,1144.8
0.702,0.0093,0.000102,0.000199,0.133,0.0115,0.0117,0.00011,0.000481,0.131,0.000621,0,0,0,1423.8
0.702,0,0.000102,0.0002,0.154,0.0793,0.0152,0.00011,6.04E-05,0.0409,0.00208,0.00574,0,0,1350.4
0.702,0,0.000102,0.0002,0.154,0.0802,0.0146,0.00011,6.04E-05,0.0409,0.00249,0.00551,0,0,1274.7
0.703,0.000908,9.92E-05,0.0375,0.146,0.0557,0.000114,0.000107,5.87E-05,0.0555,0.000606,0.000569,0,0,1130
0.703,0.00274,0.0209,0.00625,0.173,0.0481,0.00864,0.000108,5.91E-05,0.0189,0.0179,0,0,0,1237
0.703,0.00883,0.000102,0.000199,0.135,0.00942,0.0115,0.00011,0.000421,0.131,0.000621,0,0,0,1371.4
0.703,0.00927,0.000101,0.000198,0.128,0.0235,0.00574,0.000109,0.000599,0.129,0.000619,0,0,0,1273.3
0.704,0.000476,0.000104,0.000203,0.00011,0.148,0.0304,0.000112,6.15E-05,0.0892,0.0191,0.00835,0,0,1393.5
0.705,0.000475,0.000104,0.000203,0.00011,0.147,0.0304,0.000112,6.15E-05,0.0891,0.0195,0.00835,0,0,1580.1
0.706,0.000906,9.90E-05,0.0372,0.162,0.0361,0.000113,0.000107,5.86E-05,0.0554,0.000806,0.000796,0,0,1109.3
0.706,0.0106,0.000101,0.00712,0.135,0.00899,0.0114,0.000109,0.000478,0.12,0.000617,0,0,0,1302.8
0.706,0.0116,0.000101,0.000199,0.0965,0.0589,0.00755,0.00317,6.00E-05,0.115,0.00062,0.000349,0,0,1405.6
0.707,0.000959,0.000105,0.000205,0.000111,0.182,0.0306,0.000113,6.20E-05,0.0655,0.00256,0.0107,0,0,1088.6
0.707,0.000959,0.000105,0.000205,0.000111,0.183,0.0306,0.000113,6.20E-05,0.0675,0.00256,0.0077,0,0,1026.6
0.707,0.0112,0.000102,0.000199,0.0956,0.0485,0.0099,0.00318,6.01E-05,0.123,0.000621,0.00035,0,0,1429.7
0.709,0.0103,0.000102,0.0002,0.0328,0.107,0.00692,0.00011,6.05E-05,0.133,0.000625,0.000117,0,0,1810
0.71,0.000477,0.000104,0.000204,0.00011,0.149,0.0305,0.000112,6.17E-05,0.0885,0.0127,0.00814,0,0,1123.1
0.711,0.00699,0.000102,0.000199,0.0969,0.0458,0.00875,0.00549,6.03E-05,0.123,0.000622,0.000234,0,0,1412.5
0.711,0.00931,0.000102,0.000199,0.113,0.0237,0.0115,0.00011,0.000602,0.13,0.000622,0,0,0,1282.2
0.711,0.0108,0.000102,0.0002,0.0336,0.108,0.00697,0.00011,6.05E-05,0.129,0.000208,0.000117,0,0,1777.6
0.712,0.00143,0.000104,0.000203,0.00011,0.146,0.0297,0.000112,0.00123,0.0852,0.0207,0.0031,0,0,1026.6
0.712,0.00144,0.000105,0.000205,0.000111,0.18,0.0306,0.000113,6.20E-05,0.0655,0.00235,0.00842,0,0,1109.3
0.712,0.00471,0.00639,0.00746,0.133,9.64E-05,0.0363,0.000111,6.09E-05,0.098,0.000629,0,0.00121,0,1258.2
0.712,0.0103,0.000102,0.0002,0.0336,0.108,0.00698,0.00011,6.05E-05,0.129,0.000208,0.000117,0,0,1743.5
0.713,0.00984,0.000102,0.0002,0.0335,0.107,0.00698,0.00011,6.06E-05,0.129,0.000209,0.000118,0,0,1792.1
0.713,0.0108,0.000102,0.0002,0.0335,0.106,0.00697,0.00011,6.05E-05,0.129,0.000208,0.000117,0,0,1741.8
0.713,0.0108,0.000102,0.0002,0.0336,0.107,0.00691,0.00011,6.05E-05,0.128,0.000208,0.000117,0,0,1746.6
0.713,0.0112,0.000102,0.0002,0.0337,0.106,0.00697,0.00011,6.05E-05,0.128,0.000208,0.000117,0,0,1804.2
0.714,0.00138,0.00602,0.00589,0.154,0.0798,0.0144,0.000108,5.93E-05,9.35E-05,0.0245,0,0,0,1478.4
0.714,0.00984,0.000102,0.0002,0.0336,0.106,0.00698,0.00011,6.05E-05,0.129,0.000208,0.000118,0,0,1795.5
0.714,0.0108,0.000102,0.0004,0.0337,0.106,0.00703,0.00011,6.05E-05,0.128,0.000208,0.000117,0,0,1818
0.715,0.00378,0.00609,0.00605,0.133,9.66E-05,0.0372,0.000111,6.10E-05,0.0962,0.00063,0,0.00202,0,1287.4
0.717,0.00096,0.000105,0.000205,0.000111,0.178,0.0288,0.000113,0.00186,0.0665,0.00192,0.00494,0,0,1005.9
0.718,0.000473,0.000103,0.000606,0.0866,0.0969,0.00118,0,0,0.0784,0.00421,0.00581,0.000405,0.00707,1525
0.718,0.00317,0.00594,0.00581,0.178,0.0648,0.000113,0.000107,5.85E-05,9.22E-05,0.0242,0,0,0,1362.9
0.719,0.000945,0.000103,0.000202,0.0557,0.108,0.0302,0.000111,6.11E-05,0.0597,0.0149,0.0111,0,0,1071.4
0.72,0.000948,0.000104,0.000203,0.0559,0.109,0.0303,0.00548,6.13E-05,0.0609,0.00865,0.0088,0,0,1136.8
0.72,0.00407,0.0277,0.00619,0.183,0.0411,0.000113,0.000107,5.85E-05,9.23E-05,0.0181,0,0,0,1236.6
0.721,0.000476,0.000104,0.000203,0.056,0.109,0.0304,0.0105,6.15E-05,0.0611,0.00191,0.00931,0,0,1040.4
0.721,0.000955,0.000104,0.000204,0.00011,0.143,0.0299,0.00484,0.00124,0.0867,0.0102,0.0024,0,0,1026.6
0.721,0.000955,0.000104,0.000204,0.00011,0.146,0.0287,0.00293,6.17E-05,0.0846,0.00765,0.0085,0,0,1164.4
0.721,0.00189,0.00455,0.00647,0.131,9.67E-05,0.0364,0.000111,6.11E-05,0.0963,0.000631,0,0.00122,0,1219.7
0.721,0.00191,0.000104,0.000204,0.00011,0.147,0.0299,0.000113,0.00123,0.0856,0.0106,0.00288,0,0,1019.7
0.721,0.0097,0.000101,0.0119,0.0875,0.0246,0.00752,0.00316,5.97E-05,0.134,0.000617,0.000232,0,0,1391.8
0.722,0.000475,0.000104,0.000203,0.0549,0.109,0.0297,0.000112,6.14E-05,0.06,0.0019,0.0216,0,0,1164.4
0.722,0.00797,0.00164,0.001,0.0322,0.0961,0.0071,0.000111,6.06E-05,0.131,0.000209,0,0,0,1547.3
0.723,0.0032,0.006,0.00587,0.158,0.0655,0.0129,0.000108,5.91E-05,9.32E-05,0.0244,0,0,0,1463
0.724,0.0014,0.00051,0.00339,0.000108,0.157,0.000117,0.044,6.03E-05,0.0656,0.00208,0.00164,0,0,1536.5
0.725,0.0155,0.000677,0.0899,0.000102,0.167,0.000111,0.000104,5.72E-05,9.02E-05,0.000591,0,0,0,1250.5
0.727,0.000476,0.000104,0.000203,0.0549,0.108,0.0304,0.000112,6.15E-05,0.0611,0.00212,0.0154,0,0,1123.1
0.73,0.00414,0.0101,0.00983,0.186,0.0395,0.0158,0.000108,5.94E-05,9.37E-05,0.000614,0,0.00394,0,1016.4
0.731,0.00897,0.000103,0.000202,0.0742,0.0271,0.0142,0.00312,6.10E-05,0.137,0.000631,0.000237,0,0.00401,1371.1
0.732,0.00415,0.00504,0.00553,0.182,0.0395,0.0117,0.000109,5.97E-05,0.019,0.000616,0,0,0,1117.3
0.732,0.0048,0.00556,0.00533,0.136,9.81E-05,0.00012,0.000113,6.20E-05,0.0953,0.00064,0,0.00123,0.0188,1232
0.733,0.0075,0.00164,0.001,0.0213,0.0964,0.00587,0.000111,6.06E-05,0.133,0.000209,0,0,0,1592.9
0.734,0.0075,0.000615,0.000802,0.0211,0.0974,0.00575,0.000111,6.06E-05,0.132,0.000209,0.000118,0,0,1629.9
0.735,0.000951,0.000104,0.000203,0.0549,0.108,0.0286,0.000112,6.15E-05,0.0601,0.0019,0.00978,0,0,1047.3
0.735,0.00514,0.00593,0.0044,0.128,9.57E-05,0.0227,0.00011,6.04E-05,0.0972,0.000624,0,0.000802,0,1096.5
0.735,0.0111,0.000101,0.000198,0.0974,0.0266,0.00754,0.00404,5.99E-05,0.117,0.000619,0.000349,0,0,1615.8
0.736,0.0107,0.000101,0.000198,0.0964,0.0266,0.00755,0.00328,6.00E-05,0.118,0.000619,0.000349,0,0,1522.7
0.737,0.000956,0.000105,0.000204,0.00011,0.127,0.0299,0.0053,6.18E-05,0.0867,0.00426,0.00852,0,0,1061.1
0.737,0.00836,0.000102,0.000199,0.0977,0.0266,0.00756,0.00318,6.01E-05,0.118,0.000621,0.00035,0,0,1426.2
0.737,0.0111,0.000101,0.000198,0.0964,0.0266,0.00755,0.00317,5.99E-05,0.117,0.000619,0.000233,0,0,1564
0.74,0.00457,0.03,0.00586,0.179,0.0393,0.000114,0.000108,5.91E-05,9.31E-05,0.00061,0,0,0,1130.4
0.741,0.00702,0.00164,0.001,0.0321,0.0964,0.00586,0.00011,6.05E-05,0.115,0.000208,0,0,0,1455.4
0.744,0.00414,0.0217,0.00354,0.18,0.0401,0.00598,0.000108,5.94E-05,9.37E-05,0.000614,0,0,0,1028.7
0.745,0.00138,0.000101,0.000197,0.134,0.0794,0.0129,0.000108,5.94E-05,9.37E-05,0.0268,0.000115,0,0,1521.3
0.747,0.000899,0.000982,0.082,0.000104,0.166,0.000112,0.000106,5.81E-05,9.16E-05,0.0014,0.00101,0,0,1801.8
0.748,0.00704,0.00164,0.0012,0.0218,0.0967,0.00716,0.000111,6.06E-05,0.116,0.000209,0,0,0,1503.4
0.75,0.00138,0.000101,0.000197,0.133,0.0789,0.0128,0.000109,5.96E-05,9.40E-05,0.0218,0.00104,0,0,1350.3
0.75,0.00184,0.000101,0.000394,0.133,0.0814,0.0121,0.000109,5.96E-05,9.39E-05,0.0205,0,0,0,1308
0.751,0.00138,0.000101,0.000197,0.133,0.0784,0.0128,0.000109,5.96E-05,9.39E-05,0.0217,0.00104,0.000395,0,1357.9
0.751,0.00138,0.000101,0.000197,0.133,0.0784,0.0128,0.000109,5.96E-05,9.39E-05,0.022,0.000578,0,0,1317
0.751,0.00138,0.000101,0.000197,0.133,0.0787,0.0128,0.000109,5.96E-05,9.39E-05,0.0217,0.000231,0.000395,0,1269
0.751,0.00138,0.000101,0.000197,0.134,0.0782,0.0128,0.000109,5.96E-05,9.39E-05,0.0215,0.000116,0.000395,0,1306.9
0.751,0.00138,0.000101,0.000197,0.134,0.0791,0.0129,0.000109,5.96E-05,9.40E-05,0.0211,0.000116,0,0,1285
0.751,0.00184,0.000101,0.000197,0.133,0.0783,0.0129,0.000109,5.96E-05,9.39E-05,0.022,0.000116,0,0,1297.5
0.751,0.00184,0.000101,0.000197,0.133,0.0785,0.0128,0.000109,5.96E-05,9.39E-05,0.0217,0.000578,0,0,1344
0.751,0.00184,0.000101,0.000197,0.133,0.0786,0.0127,0.000109,5.96E-05,9.39E-05,0.0213,0.00116,0,0,1348.6
0.751,0.00563,0.00185,0.0012,0.0218,0.0967,0.00587,0.000111,6.06E-05,0.116,0.000209,0,0,0,1463.3
0.752,0.00138,0.000101,0.000197,0.133,0.0781,0.0127,0.000109,5.96E-05,9.39E-05,0.0215,0.000578,0.000395,0,1276.7
0.752,0.00138,0.000101,0.000197,0.133,0.0784,0.0128,0.000109,5.96E-05,9.40E-05,0.0218,0.000231,0,0,1296
0.752,0.00138,0.000101,0.000197,0.134,0.0784,0.0128,0.000109,5.96E-05,9.40E-05,0.0209,0.000116,0,0,1277.7
0.752,0.00184,0.000101,0.000197,0.133,0.0783,0.0128,0.000109,5.96E-05,9.40E-05,0.0209,0.00104,0,0,1391.2
0.752,0.00184,0.000101,0.000197,0.133,0.0787,0.0129,0.000109,5.96E-05,9.40E-05,0.0213,0.000116,0,0,1312
0.753,0.00138,0.000101,0.000197,0.133,0.0784,0.0127,0.000109,5.96E-05,9.40E-05,0.0211,0.000231,0,0,1276.5
0.753,0.00929,0.000102,0.000199,0.088,0.02,0.00756,0.00318,6.00E-05,0.117,0.00062,0.000233,0,0,1357.3
0.754,0.00184,0.000101,0.000197,0.132,0.078,0.0128,0.000109,5.96E-05,9.40E-05,0.0213,0.000347,0,0,1294.9
0.754,0.00599,0.0101,0.00493,0.165,0.0396,0.0159,0.000109,5.96E-05,9.40E-05,0.000616,0,0.00395,0,1155
0.754,0.0064,0.03,0.00469,0.166,0.0387,0.000114,0.000108,5.91E-05,9.31E-05,0.00061,0,0,0,1153.4
0.755,0.00185,0.000101,0.000198,0.134,0.0794,0.0127,0.000109,5.98E-05,9.42E-05,0.0158,0.000232,0,0,1280.2
0.755,0.00552,0.00543,0.0236,0.128,0.0188,0.0173,0.0038,0.00244,0.0375,0.000615,0,0.00197,0,1074.9
0.757,0.000465,0.000712,0.00219,0.121,0.0981,0.0119,0.00011,6.02E-05,9.48E-05,0.00497,0.00269,0,0,1157.5
0.757,0.00185,0.000101,0.000791,0.133,0.0781,0.0127,0.000109,5.97E-05,9.42E-05,0.0158,0.000232,0,0,1280.8
